topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,15,73,72,41,13,graph_images\line\line_graph_15.png,Floyd-Warshall,687,28,73,202429,23.485699901357293,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,Dijkstra,119,5,9,16,0.040700193494558334,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,Bellman-Ford,119,5,59,3068,0.5193999968469143,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,A*,119,5,9,16,0.0241999514400959,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,BFS (unweighted),119,5,11,18,0.017799902707338333,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,Bidirectional Dijkstra,119,5,9,18,0.023799948394298553,True
line,16,60,59,25,20,graph_images\line\line_graph_16.png,Floyd-Warshall,119,5,60,113340,14.534899964928627,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,Dijkstra,610,25,41,79,0.08050003089010715,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,Bellman-Ford,610,25,161,5152,0.8771000429987907,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,A*,610,25,41,79,0.06289989687502384,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,BFS (unweighted),610,25,41,79,0.03200001083314419,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,Bidirectional Dijkstra,610,25,47,94,0.07049995474517345,True
line,17,162,161,15,40,graph_images\line\line_graph_17.png,Floyd-Warshall,610,25,162,2164968,240.58070010505617,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,Dijkstra,2955,115,147,291,0.3532001283019781,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,Bellman-Ford,2955,115,244,15616,2.576800063252449,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,A*,2955,115,147,291,0.2536999527364969,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,BFS (unweighted),2955,115,147,291,0.09740004315972328,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,Bidirectional Dijkstra,2955,115,195,389,0.2880999818444252,True
line,18,245,244,31,146,graph_images\line\line_graph_18.png,Floyd-Warshall,2955,115,245,7442855,844.4936000742018,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,Dijkstra,1054,41,85,168,0.1408001407980919,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,Bellman-Ford,1054,41,297,34452,5.519399885088205,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,A*,1054,41,85,168,0.1642999704927206,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,BFS (unweighted),1054,41,83,162,0.07349997758865356,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,Bidirectional Dijkstra,1054,41,77,153,0.12290012091398239,True
line,19,298,297,57,16,graph_images\line\line_graph_19.png,Floyd-Warshall,1054,41,298,13364704,1613.5559999383986,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,Dijkstra,2677,102,198,394,0.4333001561462879,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,Bellman-Ford,2677,102,233,49396,7.772000040858984,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,A*,2677,102,198,394,0.3462000750005245,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,BFS (unweighted),2677,102,205,406,0.1362001057714224,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,Bidirectional Dijkstra,2677,102,153,305,0.3239000216126442,True
line,20,234,233,105,3,graph_images\line\line_graph_20.png,Floyd-Warshall,2677,102,234,6488352,784.1254000086337,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,Dijkstra,256,11,21,39,0.07800012826919556,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,Bellman-Ford,256,11,27,1026,0.210900092497468,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,A*,256,11,21,39,0.05360017530620098,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,BFS (unweighted),256,11,21,39,0.03360002301633358,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,Bidirectional Dijkstra,256,11,22,44,0.04900014027953148,True
line,21,28,27,18,7,graph_images\line\line_graph_21.png,Floyd-Warshall,256,11,28,12124,1.5553999692201614,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,Dijkstra,462,20,42,82,0.09380001574754715,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,Bellman-Ford,462,20,134,7236,1.2058999855071306,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,A*,462,20,42,82,0.0716999638825655,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,BFS (unweighted),462,20,41,78,0.032300129532814026,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,Bidirectional Dijkstra,462,20,36,71,0.062000006437301636,True
line,22,135,134,26,6,graph_images\line\line_graph_22.png,Floyd-Warshall,462,20,135,1257390,147.4796999245882,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,Dijkstra,845,36,62,121,0.13449997641146183,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,Bellman-Ford,845,36,64,3328,0.574400182813406,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,A*,845,36,62,121,0.09640003554522991,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,BFS (unweighted),845,36,62,121,0.04309997893869877,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,Bidirectional Dijkstra,845,36,55,109,0.08230004459619522,True
line,23,65,64,25,61,graph_images\line\line_graph_23.png,Floyd-Warshall,845,36,65,143585,17.89210014976561,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,Dijkstra,1380,46,94,185,0.1588999293744564,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,Bellman-Ford,1380,46,179,17184,2.570800017565489,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,A*,1380,46,94,185,0.20910007879137993,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,BFS (unweighted),1380,46,94,184,0.06420002318918705,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,Bidirectional Dijkstra,1380,46,98,196,0.2318001352250576,True
line,24,180,179,47,93,graph_images\line\line_graph_24.png,Floyd-Warshall,1380,46,180,2964420,334.2174000572413,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,Dijkstra,1484,54,80,157,0.1409999094903469,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,Bellman-Ford,1484,54,185,59570,8.27919994480908,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,A*,1484,54,80,157,0.14280015602707863,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,BFS (unweighted),1484,54,80,157,0.05730008706450462,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,Bidirectional Dijkstra,1484,54,105,209,0.1534000039100647,True
line,25,186,185,160,106,graph_images\line\line_graph_25.png,Floyd-Warshall,1484,54,186,3269136,371.10879993997514,True
line,26,212,211,15,202,graph_images\line\line_graph_26.png,Dijkstra,4743,187,203,403,0.2758998889476061,True
line,26,212,211,15,202,graph_images\line\line_graph_26.png,Bellman-Ford,4743,187,211,6752,1.2070999946445227,True
line,26,212,211,15,202,graph_images\line\line_graph_26.png,A*,4743,187,203,403,0.3364000003784895,True
line,26,212,211,15,202,graph_images\line\line_graph_26.png,BFS (unweighted),4743,187,203,403,0.1417999155819416,True
line,26,212,211,15,202,graph_images\line\line_graph_26.png,Bidirectional Dijkstra,4743,187,211,420,0.30230008997023106,True
